CHSI_County_Name,CHSI_State_Name,Population_Size,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,MVA,Stroke,Suicide,Injury,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,All_Death,Death_Rate
Alameda,California,1448905,24.7,18,161.2,47.4,7.7,63.7,7.6,16.3,168990,38900,26209,74851,95364,751,0.05%
Amador,California,38471,23.1,21,175.1,56.6,22.7,64.5,17.6,18.8,4523,905,2133,2180,2678,801.4,2.08%
Butte,California,214185,22.1,19.9,174,59.5,18.6,62.5,14.8,27.9,23834,6489,12091,11379,15957,878.8,0.41%
Calaveras,California,46871,18.8,15.2,166.9,58.3,36.7,57.2,17.5,19.6,4833,1206,2430,2600,3228,752.2,1.60%
Colusa,California,21095,21.1,23.8,202.3,55.6,25.4,54.6,12.6,17.2,4549,1249,830,1034,1445,866.6,4.11%
Contra Costa,California,1017787,27.1,17.2,152.5,46.6,9.9,61.5,9.4,14.6,87405,24606,19668,52118,67356,737.8,0.07%
El Dorado,California,176841,24.6,17,153.7,51.4,13.1,47.1,14.3,19.6,13080,4194,4741,9422,12175,758.8,0.43%
Fresno,California,877584,22.6,15.8,192.4,43.4,22.6,67.1,8.7,20.8,164823,36776,24459,41867,59931,836.8,0.10%
Glenn,California,27759,28.4,21.2,158.6,62.2,30.1,63.9,20.3,21.9,5297,985,1317,1370,1901,874.6,3.15%
Humboldt,California,128376,26.8,19.8,153.7,64.6,21.5,53.6,18.9,46,12731,3658,7815,6911,9299,952.7,0.74%
Imperial,California,155823,21.5,13.9,169.6,43.3,19.5,61.8,5.3,14.1,36849,9740,7760,7492,10772,777.3,0.50%
Inyo,California,18156,26.1,21,232.6,55.4,26.8,64,19.3,30.5,2247,453,1387,983,1228,889.3,4.90%
Kern,California,756825,27,20.5,268.9,57.8,21.7,61.9,11,24.7,139010,27239,23329,36250,51564,972.6,0.13%
Kings,California,143420,23,18.5,180.6,50.2,25.6,59.2,9.4,15.9,26729,5121,6664,7092,9980,865.6,0.60%
Lake,California,65147,23.6,15.8,195.3,74.2,23.1,74.2,15.5,32.1,10150,1984,4571,3484,4448,959.7,1.47%
Lassen,California,34751,16.8,11.8,188.2,51.7,13.8,50.8,15.8,23.4,4828,993,1841,1930,2571,824.6,2.37%
Los Angeles,California,9935475,23.3,17.5,210.6,39.9,9.7,54.1,7.9,13.9,1872316,256472,370924,495905,665392,747.3,0.01%
Madera,California,142788,18.8,14.7,210.1,49,28.8,56.5,11.7,24.5,30140,4795,4112,7076,9746,826.6,0.58%
Marin,California,246960,27.1,16,128.2,42,5.9,55,11.3,14.1,15885,5049,5868,13576,15907,636.5,0.26%
Mariposa,California,18069,32.3,19.2,174.6,55.7,35,55.8,11.7,27.4,1904,546,902,1011,1284,820.7,4.54%
Mendocino,California,88161,25.4,21.5,152.8,54,17.2,65,15.9,34,11333,2542,4636,4642,6000,859.5,0.97%
Merced,California,241706,25.9,19.4,202.4,46.4,23.8,75.2,8.4,20.5,49138,9839,7595,11240,16421,881.2,0.36%
Modoc,California,9524,19.9,18.1,187.4,50.9,28,70.3,19.3,36.3,1508,319,671,517,659,936.6,9.83%
Monterey,California,412104,22.6,15.2,144.4,41.7,14.9,59.6,9.3,17.7,78926,15353,12029,20267,27891,713.5,0.17%
Napa,California,132764,24.3,21.2,153.7,51.9,10.7,72.9,7.4,17.1,17566,3046,3171,7004,8942,787,0.59%
Nevada,California,98394,21.9,18.7,154.2,52,16.4,73.1,16.8,25.1,6804,2281,5550,5447,6799,757,0.77%
Orange,California,2988072,23.2,15.2,177.7,41,8.5,56,7.6,12.7,392129,60432,89065,150645,197331,687.3,0.02%
Placer,California,317028,23.4,15.1,152.6,50.5,12.7,62,12.8,19.7,20463,6440,7655,16837,21528,719.9,0.23%
Plumas,California,21477,32.8,18.7,147,65.4,25.5,41.9,19.9,20.8,1855,847,2598,1195,1481,847.5,3.95%
Riverside,California,1946419,26,19.4,219.3,49.5,16.7,60,9.8,16.1,297794,42936,83445,96145,132670,805.7,0.04%
Sacramento,California,1363482,25.5,17,193.1,53.7,13.7,69.5,10.9,16.9,144113,32403,37606,68447,91279,821.6,0.06%
San Benito,California,55936,23.5,14.9,136.1,39.1,18.8,59.9,6.7,15.7,8339,1989,2318,2683,3726,724.6,1.30%
San Bernardino,California,1963535,26.2,20.4,241.3,51.9,16.9,60.7,10.3,12.5,295593,43325,57473,93938,134224,916.2,0.05%
